report_id,company_inn,sign,item_index,code,name,chapter
c2be40c0-668f-5953-a049-4d99a26229ca,1684017097,positive,0,fnsBlocking,"Нет блокировок банковских счетов по постановлениям налоговой на текущую дату, что может говорить об отсутствии у компании проблем с налоговыми органами, которые привели бы к блокировке счетов.",reestrs
c2be40c0-668f-5953-a049-4d99a26229ca,1684017097,positive,1,relatedCompanies,"У компании есть связанные компании, это позволяет проанализировать не только текущую деятельность контрагента, но и историю связанных с ним организаций. Изучите информацию о связанных компаниях, их деятельности и истории, чтобы получить более полное представление о контрагенте и его надежности.",relatedComp
c2be40c0-668f-5953-a049-4d99a26229ca,1684017097,positive,2,executionProceedings,"Нет действующих исполнительных производств, в которых выступает в качестве ответчика, это может указывать на то, что компания своевременно исполняет свои обязательства и не имеет серьезных финансовых проблем.",execproc
c2be40c0-668f-5953-a049-4d99a26229ca,1684017097,positive,3,liquidationStatus,"Не найден в реестре организаций проходящих процедуру банкротства, что может свидетельствовать об отсутствии у компании текущих процедур банкротства, что является положительным знаком при оценке ее финансовой устойчивости.",reestrs
c2be40c0-668f-5953-a049-4d99a26229ca,1684017097,positive,4,massAuthpersons,"Не найден в реестре организаций с массовым директором или учредителем, вероятно, компания не используется в сомнительных схемах, что повышает доверие к ее деятельности.",manager
c2be40c0-668f-5953-a049-4d99a26229ca,1684017097,positive,5,massAddress,"Не найден в реестре организаций с массовым адресом, что может свидетельствовать о достоверности и актуальности данных об адресе юридического лица.",reestrs
c2be40c0-668f-5953-a049-4d99a26229ca,1684017097,positive,6,dishonestProvider,"Не найден в реестре организаций недобросовестных поставщиков, что может свидетельствовать об отсутствии у компании негативных историй участия в государственных закупках.",reestrs
c2be40c0-668f-5953-a049-4d99a26229ca,1684017097,positive,7,disqualifiedAuthpersons,"Руководитель организации не найден в реестре дисквалифицированных лиц, руководитель компании, вероятно, не имеет ограничений на занятие руководящих должностей и не был дисквалифицирован за нарушения законодательства.",manager
c2be40c0-668f-5953-a049-4d99a26229ca,1684017097,positive,8,аrbitrationDefendant,"Не найдены арбитражные дела, в которых выступает в качестве ответчика, что может свидетельствовать о том, что компания, вероятно, соблюдает свои обязательства и эффективно решает возникающие споры.",arbitr
c2be40c0-668f-5953-a049-4d99a26229ca,1684017097,positive,9,taxArrears,"Не найден в реестре организаций должников ФНС, что может свидетельствовать об отсутствии задолженности перед налоговыми органами, что является положительным фактором при оценке надежности контрагента.",reestrs
